Timestamp,RTU11_SfSts,RTU11_SfVfd(%),RTU11_SpcTStairW(°F),RTU12_DmprStairE(%),RTU12_SpcTStairE(°F)
24-Jan-19 3:35:00 pm,,34.86,67.13,0.00,66.30
13-Feb-19 12:15:00 am,,34.24,61.16,0.00,64.98
09-Mar-19 5:20:00 am,,34.18,63.66,0.00,64.99
06-Dec-18 3:50:00 pm,,34.38,67.34,0.00,67.34
07-Jan-19 8:05:00 pm,,33.39,64.37,0.00,66.33
02-Feb-19 7:20:00 pm,,33.68,63.06,0.00,62.71
09-Dec-18 8:25:00 am,,33.28,57.70,0.00,60.02
08-May-19 2:05:00 pm,,33.19,71.50,0.00,70.26
02-Dec-18 7:45:00 am,,35.31,60.46,0.00,62.99
07-May-19 3:45:00 pm,,61.70,72.08,0.00,71.47
04-Mar-19 7:35:00 pm,,33.60,54.25,,
27-Mar-19 7:50:00 pm,,33.94,71.42,4.00,71.76
18-Jan-19 10:05:00 am,,34.29,61.68,0.00,63.63
10-Mar-19 9:50:00 am,,33.22,62.09,0.00,66.13
23-Apr-19 5:55:00 am,,35.61,68.72,0.00,69.63
15-Feb-19 5:50:00 pm,,33.80,66.04,0.00,67.07
24-Feb-19 4:00:00 am,,34.60,62.56,0.00,62.17
26-Mar-19 7:35:00 am,,35.32,66.27,0.00,67.54
27-Feb-19 5:10:00 pm,,33.00,66.65,0.00,67.47
13-Apr-19 9:55:00 am,,33.74,66.64,0.00,67.29
03-Jan-19 11:10:01 am,,37.16,64.72,0.00,66.31
29-Dec-18 6:10:00 pm,,35.60,61.32,0.00,61.34
09-Feb-19 8:00:00 pm,,35.06,56.42,0.00,58.43
08-Jan-19 11:20:00 pm,,35.13,61.77,0.00,63.80
03-Dec-18 10:05:00 pm,,34.68,61.42,0.00,64.77
05-May-19 7:35:00 am,,35.09,71.66,0.00,75.80
12-Feb-19 11:30:00 pm,,33.29,60.95,0.00,64.98
07-Apr-19 7:20:00 pm,,71.52,71.78,0.00,73.24
10-Mar-19 6:30:00 am,,33.36,62.38,0.00,63.86
18-Nov-18 7:45:00 am,,34.28,56.87,0.00,59.86
13-Mar-19 12:20:00 am,,33.18,66.60,0.00,66.83
26-Dec-18 12:20:00 am,,35.33,59.86,0.00,62.88
13-Nov-18 11:30:00 pm,,35.61,60.20,0.00,63.13
18-Mar-19 4:45:01 am,,33.71,64.05,0.00,65.89
24-Mar-19 6:40:00 am,,35.00,67.56,0.00,69.65
26-Feb-19 11:25:00 pm,,32.47,59.19,0.00,63.91
23-Nov-18 10:15:00 am,,34.79,65.07,0.00,66.45
28-Apr-19 11:20:00 pm,,35.79,70.26,0.00,72.05
20-Apr-19 1:25:00 pm,,63.36,72.05,0.00,77.69
13-May-19 2:40:00 am,,33.13,70.63,10.92,71.43
07-Dec-18 7:30:00 am,,34.05,59.51,0.00,62.97
20-Apr-19 4:45:00 pm,,90.04,73.07,0.00,76.71
05-Apr-19 3:45:01 am,,33.09,67.53,0.00,67.69
09-Apr-19 8:15:00 pm,,34.40,70.46,0.00,70.67
27-Mar-19 8:15:01 pm,,32.82,71.24,0.00,71.50
30-Nov-18 11:30:00 pm,,35.50,63.31,0.00,65.31
26-Mar-19 2:50:00 pm,,48.78,71.90,0.00,70.41
21-Nov-18 2:10:00 pm,,33.89,64.86,0.00,66.35
03-Mar-19 3:55:00 am,,32.21,52.61,0.00,60.54
23-Jan-19 12:15:00 pm,,54.14,66.55,0.00,66.28
28-Apr-19 5:40:00 am,,34.87,68.56,0.00,69.66
21-Nov-18 5:30:00 am,,33.95,60.75,0.00,63.39
16-Nov-18 6:50:00 am,,35.68,64.31,0.00,66.33
12-Mar-19 7:25:00 am,,35.78,65.32,0.00,66.67
21-Mar-19 10:00:01 am,,37.04,68.40,0.00,72.17
07-Dec-18 11:15:00 pm,,34.78,60.69,0.00,64.03
26-Nov-18 12:05:00 am,,33.84,60.63,0.00,61.20
28-Apr-19 11:20:00 am,,60.46,72.87,0.00,75.34
06-May-19 7:50:00 am,,34.80,71.85,0.00,71.07
12-Jan-19 6:40:00 pm,,32.87,61.72,,
22-Dec-18 5:30:00 pm,,33.45,61.30,0.00,62.88
30-Nov-18 11:30:00 am,,35.54,64.55,0.00,66.71
11-Dec-18 1:10:00 am,,32.54,59.28,0.00,62.41
